Identificação de fontes de tolerância do feijão comum ao estresse hídrico;AGRONOMIA;Campus Cáceres;01/ago/19;30/set/20
Monitoramento do consumo de energia elétrica em tempo real;ENGENHARIA ELÉTRICA;Campus Pontes e Lacerda;01/fev/20;30/nov/20
Estudos de validação em escala operacional do removedor de amônia atmosférica em aviário;QUÍMICA;Campus Cuiabá-Bela Vista;01/ago/20;31/jul/21
Desenvolvimento e eficácia de jogos didáticos como material complementar para o ensino de Biologia: Origem da vida;BIOLOGIA GERAL;Campus Confresa;01/set/18;31/jul/19
Doses e fontes de biomassa carbonizada na produção de mudas de tamboril;AGRONOMIA;Campus Juína;01/set/19;01/fev/21
Infestação e perfil reprodutivo do ácaro ectoparasita Varroa destructor em colônias de abelhas africanizadas no ecótono Cerrado-Amazônia;AGRONOMIA;Campus Avançado Guarantã do Norte;01/ago/20;31/jul/21
INFLUÊNCIA DA ADUBAÇÃO VERDE NAS PROPRIEDADES QUÍMICAS DO SOLO E NO DESENVOLVIMENTO DA SOJA EM SUCESSÃO;AGRONOMIA;Campus São Vicente;01/ago/19;31/jul/20
Qualidade de linguiça suína tipo cuiabana adicionada de farinha do resíduo cervejeiro;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;23/mai/19;01/fev/21
COMPOSIÇÃO BIOINSETICIDA A BASE DE Dipteryx alata E Croton floribundus PARA CONTROLE DA COCHONILHA-ROSADA NA CULTURA DA TECA;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Campus Cáceres;01/ago/18;31/jul/19
Banco de bactérias endofíticas com interesse agroeconômico;MICROBIOLOGIA;Campus Cáceres;01/ago/19;01/jul/20
ELEMENTOS DO ENSINO DE CIÊNCIAS POR INVESTIGAÇÃO NA PRATICA DE PROFESSORES DE CIÊNCIAS;ENSINO;Campus São Vicente;05/mar/18;03/fev/20
MODELAGEM MATEMÁTICA NO CRESCIMENTO DO FUNGO PYCNOPORUS SANGUINEUS NO PRIMEIRO SEMESTRE DO CURSO DE BIOLOGIA NO IFMT – CAMPUS JUINA;MATEMÁTICA;Campus Juína;01/ago/20;30/set/21
Almôndega de peixe enriquecida com proteína do soro de leite;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Campus Cuiabá-Bela Vista;01/ago/19;31/out/20
Características agronômicas de cultivares de bananeiras submetidas a diferentes níveis de irrigação no município de Confresa-MT;ENGENHARIA AGRÍCOLA;Campus Confresa;01/ago/18;31/jul/19
Costurando o invisível: representações positivadas da Fronteira Oeste;HISTÓRIA;Campus Pontes e Lacerda;14/ago/19;07/dez/19
Pré-tratamento seguido de fermentação alcoólica do resíduo da colheita do milho Zea mays;QUÍMICA;Campus Confresa;01/ago/18;31/jul/19
A ATUAÇÃO DO CONSELHO MUNICIPAL DE DESENVOLVIMENTO RURAL SUSTENTÁVEL DE PONTES E LACERDA NO FOMENTO DAS POLÍTICAS PÚBLICAS.;ADMINISTRAÇÃO;Campus Pontes e Lacerda;13/mar/19;13/abr/20
GENÓTIPOS DE FEIJÃO COM RESISTÊNCIA PARCIAL DE CAMPO AO MOFO-BRANCO;AGRONOMIA;Campus Sorriso;01/ago/19;30/set/20
CONCRETO COM BORRACHA DE PNEU  DOS 7 DIAS AOS 728 DIAS;ENGENHARIA CIVIL;Campus Cuiabá;01/out/19;01/fev/21
Indicadores do Desenvolvimento de Ciência, Tecnologia e Inovação no Instituto Federal de Mato Grosso;ADMINISTRAÇÃO;Campus Juína;01/ago/18;30/nov/19
Uma proposta de revisão da ementa da disciplina de Matemática no curso Técnico em Administração construída juntamente com o discente;MATEMÁTICA;Campus Diamantino;01/ago/18;20/dez/19
Efeito da fumaça de diferentes comburentes sobre a defensibilidade e sanidade de enxames de Apis mellifera;ZOOTECNIA;Campus Avançado Guarantã do Norte;01/ago/19;31/jul/20
